,rentaldate,occupancy
367,2018-02-17,20.9375
368,2018-02-18,19.6875
369,2018-02-19,25.3125
370,2018-02-20,18.125
371,2018-02-21,20.3125
372,2018-02-22,24.6875
373,2018-02-23,29.0625
374,2018-02-24,27.5
375,2018-02-25,29.375
376,2018-02-26,28.4375
377,2018-02-27,30.0
378,2018-02-28,36.25
379,2018-03-01,33.125
380,2018-03-02,31.5625
381,2018-03-03,35.9375
382,2018-03-04,38.75
383,2018-03-05,31.875
384,2018-03-06,31.25
385,2018-03-07,29.6875
386,2018-03-08,29.0625
387,2018-03-09,30.9375
388,2018-03-10,33.125
389,2018-03-11,30.625
390,2018-03-12,29.0625
391,2018-03-13,33.125
392,2018-03-14,31.875
393,2018-03-15,32.5
394,2018-03-16,35.0
395,2018-03-17,36.5625
396,2018-03-18,32.1875
397,2018-03-19,26.25
398,2018-03-20,26.875
399,2018-03-21,27.5
400,2018-03-22,27.5
401,2018-03-23,31.25
402,2018-03-24,29.6875
403,2018-03-25,32.8125
404,2018-03-26,33.4375
405,2018-03-27,31.875
406,2018-03-28,32.8125
407,2018-03-29,34.375
408,2018-03-30,41.875
409,2018-03-31,39.0625
410,2018-04-01,35.625
411,2018-04-02,34.0625
412,2018-04-03,34.0625
413,2018-04-04,39.0625
414,2018-04-05,33.4375
415,2018-04-06,38.4375
416,2018-04-07,49.6875
417,2018-04-08,35.9375
418,2018-04-09,30.3125
419,2018-04-10,30.3125
420,2018-04-11,25.9375
421,2018-04-12,26.5625
422,2018-04-13,33.125
423,2018-04-14,37.1875
424,2018-04-15,39.0625
425,2018-04-16,33.4375
426,2018-04-17,30.0
427,2018-04-18,25.9375
428,2018-04-19,25.625
429,2018-04-20,27.1875
430,2018-04-21,33.75
431,2018-04-22,37.5
432,2018-04-23,30.3125
433,2018-04-24,32.5
434,2018-04-25,29.6875
435,2018-04-26,26.25
436,2018-04-27,27.1875
437,2018-04-28,33.4375
438,2018-04-29,36.875
439,2018-04-30,33.125
440,2018-05-01,28.4375
441,2018-05-02,25.625
442,2018-05-03,23.75
443,2018-05-04,27.1875
444,2018-05-05,40.0
445,2018-05-06,43.125
446,2018-05-07,34.6875
447,2018-05-08,31.875
448,2018-05-09,27.5
449,2018-05-10,22.1875
450,2018-05-11,26.875
451,2018-05-12,32.5
452,2018-05-13,34.375
453,2018-05-14,28.125
454,2018-05-15,25.9375
455,2018-05-16,25.3125
456,2018-05-17,24.6875
457,2018-05-18,28.75
458,2018-05-19,33.4375
459,2018-05-20,32.5
460,2018-05-21,28.125
461,2018-05-22,25.0
462,2018-05-23,26.25
463,2018-05-24,32.5
464,2018-05-25,38.4375
465,2018-05-26,34.375
466,2018-05-27,35.625
467,2018-05-28,42.1875
468,2018-05-29,32.1875
469,2018-05-30,31.25
470,2018-05-31,27.1875
471,2018-06-01,28.4375
472,2018-06-02,37.5
473,2018-06-03,40.9375
474,2018-06-04,39.0625
475,2018-06-05,37.5
476,2018-06-06,33.4375
477,2018-06-07,39.0625
478,2018-06-08,34.6875
479,2018-06-09,31.875
480,2018-06-10,35.9375
481,2018-06-11,35.0
482,2018-06-12,31.5625
483,2018-06-13,30.625
484,2018-06-14,34.0625
485,2018-06-15,37.1875
486,2018-06-16,37.8125
487,2018-06-17,36.875
488,2018-06-18,36.25
489,2018-06-19,38.75
490,2018-06-20,31.875
491,2018-06-21,30.3125
492,2018-06-22,38.4375
493,2018-06-23,35.9375
494,2018-06-24,31.875
495,2018-06-25,32.1875
496,2018-06-26,39.375
497,2018-06-27,33.4375
498,2018-06-28,28.75
499,2018-06-29,28.4375
500,2018-06-30,29.0625
501,2018-07-01,26.25
502,2018-07-02,20.9375
503,2018-07-03,21.5625
504,2018-07-04,19.375
505,2018-07-05,17.5
506,2018-07-06,17.1875
507,2018-07-07,23.75
508,2018-07-08,25.9375
509,2018-07-09,24.375
510,2018-07-10,18.4375
511,2018-07-11,17.1875
512,2018-07-12,20.625
513,2018-07-13,21.5625
514,2018-07-14,22.1875
515,2018-07-15,22.1875
516,2018-07-16,19.375
517,2018-07-17,19.6875
518,2018-07-18,21.25
519,2018-07-19,21.875
520,2018-07-20,22.8125
521,2018-07-21,24.375
522,2018-07-22,23.125
523,2018-07-23,22.5
524,2018-07-24,23.125
525,2018-07-25,23.75
526,2018-07-26,25.625
527,2018-07-27,27.5
528,2018-07-28,30.3125
529,2018-07-29,31.25
530,2018-07-30,27.5
531,2018-07-31,23.4375
532,2018-08-01,18.4375
533,2018-08-02,20.625
534,2018-08-03,27.5
535,2018-08-04,28.4375
536,2018-08-05,33.125
537,2018-08-06,37.5
538,2018-08-07,33.125
539,2018-08-08,32.1875
540,2018-08-09,24.375
541,2018-08-10,19.0625
542,2018-08-11,26.25
543,2018-08-12,25.3125
544,2018-08-13,20.0
545,2018-08-14,16.875
546,2018-08-15,16.5625
547,2018-08-16,16.875
548,2018-08-17,23.125
549,2018-08-18,24.0625
550,2018-08-19,20.625
551,2018-08-20,14.6875
552,2018-08-21,16.25
553,2018-08-22,19.0625
554,2018-08-23,18.4375
555,2018-08-24,16.875
556,2018-08-25,15.625
557,2018-08-26,15.0
558,2018-08-27,18.4375
